"modelable_entity_id","cause_id","rei_id","n_code","sequela_id","healthstate_id"
17141,725,285,"N41",-47,-47
17142,725,286,"N42",-48,-48
17143,725,287,"N43",-49,-49
17144,725,288,"N44",-50,-50
17145,725,289,"N45",-51,-51
17146,725,290,"N46",-52,-52
17147,725,291,"N47",-53,-53
17148,725,292,"N48",-54,-54
17149,725,293,"N5",-5,-5
17150,725,294,"N6",-6,-6
17151,725,295,"N7",-7,-7
17152,725,296,"N8",-8,-8
17153,725,297,"N9",-9,-9
17154,726,250,"N1",-1,-1
17155,726,251,"N10",-10,-10
17156,726,252,"N11",-11,-11
17157,726,253,"N12",-12,-12
17158,726,254,"N13",-13,-13
17159,726,255,"N14",-14,-14
17160,726,256,"N15",-15,-15
17161,726,257,"N16",-16,-16
17162,726,258,"N17",-17,-17
17163,726,259,"N18",-18,-18
17164,726,260,"N19",-19,-19
17165,726,261,"N2",-2,-2
17166,726,262,"N20",-20,-20
17167,726,263,"N21",-21,-21
17168,726,264,"N22",-22,-22
17169,726,265,"N23",-23,-23
17170,726,266,"N24",-24,-24
17171,726,267,"N25",-25,-25
17172,726,268,"N26",-26,-26
17173,726,269,"N27",-27,-27
17174,726,270,"N28",-28,-28
17175,726,272,"N3",-3,-3
17176,726,273,"N30",-30,-30
17177,726,274,"N31",-31,-31
17178,726,275,"N32",-32,-32
17179,726,276,"N33",-55,-55
17184,726,277,"N34",-56,-56
17189,726,278,"N35",-41,-41
17190,726,279,"N36",-42,-42
17191,726,280,"N37",-43,-43
17192,726,281,"N38",-44,-44
17193,726,282,"N39",-45,-45
17194,726,283,"N4",-4,-4
17195,726,284,"N40",-46,-46
17196,726,285,"N41",-47,-47
17197,726,286,"N42",-48,-48
17198,726,287,"N43",-49,-49
17199,726,288,"N44",-50,-50
17200,726,289,"N45",-51,-51
17201,726,290,"N46",-52,-52
17202,726,291,"N47",-53,-53
17203,726,292,"N48",-54,-54
17204,726,293,"N5",-5,-5
17205,726,294,"N6",-6,-6
17206,726,295,"N7",-7,-7
17207,726,296,"N8",-8,-8
17208,726,297,"N9",-9,-9
17209,727,250,"N1",-1,-1
17210,727,251,"N10",-10,-10
17211,727,252,"N11",-11,-11
17212,727,253,"N12",-12,-12
17213,727,254,"N13",-13,-13
17214,727,255,"N14",-14,-14
17215,727,256,"N15",-15,-15
17216,727,257,"N16",-16,-16
17217,727,258,"N17",-17,-17
17218,727,259,"N18",-18,-18
17219,727,260,"N19",-19,-19
17220,727,261,"N2",-2,-2
17221,727,262,"N20",-20,-20
17222,727,263,"N21",-21,-21
17223,727,264,"N22",-22,-22
17224,727,265,"N23",-23,-23
17225,727,266,"N24",-24,-24
17226,727,267,"N25",-25,-25
17227,727,268,"N26",-26,-26
17228,727,269,"N27",-27,-27
17229,727,270,"N28",-28,-28
17230,727,272,"N3",-3,-3
17231,727,273,"N30",-30,-30
17232,727,274,"N31",-31,-31
17233,727,275,"N32",-32,-32
17234,727,276,"N33",-55,-55
17239,727,277,"N34",-56,-56
17244,727,278,"N35",-41,-41
17245,727,279,"N36",-42,-42
17246,727,280,"N37",-43,-43
17247,727,281,"N38",-44,-44
17248,727,282,"N39",-45,-45
17249,727,283,"N4",-4,-4
17250,727,284,"N40",-46,-46
17251,727,285,"N41",-47,-47
17252,727,286,"N42",-48,-48
17253,727,287,"N43",-49,-49
17254,727,288,"N44",-50,-50
17255,727,289,"N45",-51,-51
17256,727,290,"N46",-52,-52
17257,727,291,"N47",-53,-53
17258,727,292,"N48",-54,-54
17259,727,293,"N5",-5,-5
17260,727,294,"N6",-6,-6
17261,727,295,"N7",-7,-7
17262,727,296,"N8",-8,-8
17263,727,297,"N9",-9,-9
17264,705,250,"N1",-1,-1
17265,705,251,"N10",-10,-10
17266,705,252,"N11",-11,-11
17267,705,253,"N12",-12,-12
17268,705,254,"N13",-13,-13
17269,705,255,"N14",-14,-14
17270,705,256,"N15",-15,-15
17271,705,257,"N16",-16,-16
17272,705,258,"N17",-17,-17
17273,705,259,"N18",-18,-18
17274,705,260,"N19",-19,-19
17275,705,261,"N2",-2,-2
17276,705,262,"N20",-20,-20
17277,705,263,"N21",-21,-21
17278,705,264,"N22",-22,-22
17279,705,265,"N23",-23,-23
17280,705,266,"N24",-24,-24
17281,705,267,"N25",-25,-25
17282,705,268,"N26",-26,-26
17283,705,269,"N27",-27,-27
17284,705,270,"N28",-28,-28
17285,705,272,"N3",-3,-3
17286,705,273,"N30",-30,-30
17287,705,274,"N31",-31,-31
17288,705,275,"N32",-32,-32
17289,705,276,"N33",-55,-55
17294,705,277,"N34",-56,-56
17299,705,278,"N35",-41,-41
17300,705,279,"N36",-42,-42
17301,705,280,"N37",-43,-43
17302,705,281,"N38",-44,-44
17303,705,282,"N39",-45,-45
17304,705,283,"N4",-4,-4
17305,705,284,"N40",-46,-46
17306,705,285,"N41",-47,-47
17307,705,286,"N42",-48,-48
17308,705,287,"N43",-49,-49
17309,705,288,"N44",-50,-50
17310,705,289,"N45",-51,-51
17311,705,290,"N46",-52,-52
17312,705,291,"N47",-53,-53
17313,705,292,"N48",-54,-54
17314,705,293,"N5",-5,-5
17315,705,294,"N6",-6,-6
17316,705,295,"N7",-7,-7
17317,705,296,"N8",-8,-8
17318,705,297,"N9",-9,-9
17319,707,250,"N1",-1,-1
17320,707,251,"N10",-10,-10
17321,707,252,"N11",-11,-11
17322,707,253,"N12",-12,-12
17323,707,254,"N13",-13,-13
17324,707,255,"N14",-14,-14
17325,707,256,"N15",-15,-15
17326,707,257,"N16",-16,-16
17327,707,258,"N17",-17,-17
17328,707,259,"N18",-18,-18
17329,707,260,"N19",-19,-19
17330,707,261,"N2",-2,-2
17331,707,262,"N20",-20,-20
17332,707,263,"N21",-21,-21
17333,707,264,"N22",-22,-22
17334,707,265,"N23",-23,-23
17335,707,266,"N24",-24,-24
17336,707,267,"N25",-25,-25
17337,707,268,"N26",-26,-26
17338,707,269,"N27",-27,-27
17339,707,270,"N28",-28,-28
17340,707,272,"N3",-3,-3
17341,707,273,"N30",-30,-30
17342,707,274,"N31",-31,-31
17343,707,275,"N32",-32,-32
17344,707,276,"N33",-55,-55
17349,707,277,"N34",-56,-56
17354,707,278,"N35",-41,-41
17355,707,279,"N36",-42,-42
17356,707,280,"N37",-43,-43
17357,707,281,"N38",-44,-44
17358,707,282,"N39",-45,-45
17359,707,283,"N4",-4,-4
17360,707,284,"N40",-46,-46
17361,707,285,"N41",-47,-47
17362,707,286,"N42",-48,-48
17363,707,287,"N43",-49,-49
17364,707,288,"N44",-50,-50
17365,707,289,"N45",-51,-51
17366,707,290,"N46",-52,-52
17367,707,291,"N47",-53,-53
17368,707,292,"N48",-54,-54
17369,707,293,"N5",-5,-5
17370,707,294,"N6",-6,-6
17371,707,295,"N7",-7,-7
17372,707,296,"N8",-8,-8
17373,707,297,"N9",-9,-9
17429,708,250,"N1",-1,-1
17430,708,251,"N10",-10,-10
17431,708,252,"N11",-11,-11
17432,708,253,"N12",-12,-12
17433,708,254,"N13",-13,-13
17434,708,255,"N14",-14,-14
17435,708,256,"N15",-15,-15
17436,708,257,"N16",-16,-16
17437,708,258,"N17",-17,-17
17438,708,259,"N18",-18,-18
17439,708,260,"N19",-19,-19
17440,708,261,"N2",-2,-2
17441,708,262,"N20",-20,-20
17442,708,263,"N21",-21,-21
17443,708,264,"N22",-22,-22
17444,708,265,"N23",-23,-23
17445,708,266,"N24",-24,-24
17446,708,267,"N25",-25,-25
17447,708,268,"N26",-26,-26
17448,708,269,"N27",-27,-27
17449,708,270,"N28",-28,-28
17450,708,272,"N3",-3,-3
17451,708,273,"N30",-30,-30
17452,708,274,"N31",-31,-31
17453,708,275,"N32",-32,-32
17454,708,276,"N33",-55,-55
17459,708,277,"N34",-56,-56
17464,708,278,"N35",-41,-41
17465,708,279,"N36",-42,-42
17466,708,280,"N37",-43,-43
17467,708,281,"N38",-44,-44
17468,708,282,"N39",-45,-45
17469,708,283,"N4",-4,-4
17470,708,284,"N40",-46,-46
17471,708,285,"N41",-47,-47
17472,708,286,"N42",-48,-48
17473,708,287,"N43",-49,-49
17474,708,288,"N44",-50,-50
17475,708,289,"N45",-51,-51
17476,708,290,"N46",-52,-52
17477,708,291,"N47",-53,-53
17478,708,292,"N48",-54,-54
17479,708,293,"N5",-5,-5
17480,708,294,"N6",-6,-6
17481,708,295,"N7",-7,-7
17482,708,296,"N8",-8,-8
17483,708,297,"N9",-9,-9
17484,842,250,"N1",-1,-1
17485,842,251,"N10",-10,-10
17486,842,252,"N11",-11,-11
17487,842,253,"N12",-12,-12
17488,842,254,"N13",-13,-13
17489,842,255,"N14",-14,-14
17490,842,256,"N15",-15,-15
17491,842,257,"N16",-16,-16
17492,842,258,"N17",-17,-17
17493,842,259,"N18",-18,-18
17494,842,260,"N19",-19,-19
17495,842,261,"N2",-2,-2
17496,842,262,"N20",-20,-20
17497,842,263,"N21",-21,-21
17498,842,264,"N22",-22,-22
17499,842,265,"N23",-23,-23
17500,842,266,"N24",-24,-24
17501,842,267,"N25",-25,-25
17502,842,268,"N26",-26,-26
17503,842,269,"N27",-27,-27
17504,842,270,"N28",-28,-28
17505,842,272,"N3",-3,-3
17506,842,273,"N30",-30,-30
17507,842,274,"N31",-31,-31
17508,842,275,"N32",-32,-32
17509,842,276,"N33",-55,-55
17514,842,277,"N34",-56,-56
17519,842,278,"N35",-41,-41
17520,842,279,"N36",-42,-42
17521,842,280,"N37",-43,-43
17522,842,281,"N38",-44,-44
17523,842,282,"N39",-45,-45
17524,842,283,"N4",-4,-4
17525,842,284,"N40",-46,-46
17526,842,285,"N41",-47,-47
17527,842,286,"N42",-48,-48
17528,842,287,"N43",-49,-49
17529,842,288,"N44",-50,-50
17530,842,289,"N45",-51,-51
17531,842,290,"N46",-52,-52
17532,842,291,"N47",-53,-53
17533,842,292,"N48",-54,-54
17534,842,293,"N5",-5,-5
17535,842,294,"N6",-6,-6
17536,842,295,"N7",-7,-7
17537,842,296,"N8",-8,-8
17538,842,297,"N9",-9,-9
17539,716,250,"N1",-1,-1
17540,716,251,"N10",-10,-10
17541,716,252,"N11",-11,-11
17542,716,253,"N12",-12,-12
17543,716,254,"N13",-13,-13
17544,716,255,"N14",-14,-14
17545,716,256,"N15",-15,-15
17546,716,257,"N16",-16,-16
17547,716,258,"N17",-17,-17
17548,716,259,"N18",-18,-18
17549,716,260,"N19",-19,-19
17550,716,261,"N2",-2,-2
17551,716,262,"N20",-20,-20
17552,716,263,"N21",-21,-21
17553,716,264,"N22",-22,-22
17554,716,265,"N23",-23,-23
17555,716,266,"N24",-24,-24
17556,716,267,"N25",-25,-25
17557,716,268,"N26",-26,-26
17558,716,269,"N27",-27,-27
17559,716,270,"N28",-28,-28
17560,716,272,"N3",-3,-3
17561,716,273,"N30",-30,-30
17562,716,274,"N31",-31,-31
17563,716,275,"N32",-32,-32
17564,716,276,"N33",-55,-55
17569,716,277,"N34",-56,-56
