study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,study_id2,e_mean,se,mean_logit,sd_logit,in_var
1010,Bajema K,0,102,102,United States,US delta hosp,"",Moderna,Delta,severe,hosp,,18,85,0.896,0.801,0.945,0,0,,2,15,severe,8.5,8.5,Non_Omicron,1010&US delta hosp&Delta&hosp&18&85,0.796,0.036734693877551,1.36147919200017,0.226221141723021,0.521749194749951
1010,Bajema K,0,102,102,United States,US delta hosp,"",Moderna,Delta,severe,hosp,,18,85,0.961,0.777,0.913,0,0,,16,20,severe,18,18,Non_Omicron,1010&US delta hosp&Delta&hosp&18&85,0.861,0.0346938775510204,1.82362057129704,0.289891104964283,0.536875492193159
531,Berec L,0,47,47,Czechia,Czech delta hosp,"",Moderna,Delta,severe,hosp,,12,65,0.9,0.82,0.875,0,0,,12,20,severe,16,16,Non_Omicron,531&Czech delta hosp&Delta&hosp&12&65,0.8,0.014030612244898,1.38629436111989,0.0876913265306123,0.844231764817738
531,Berec L,0,47,47,Czechia,Czech delta hosp,"",Moderna,Delta,severe,hosp,,12,65,0.86,0.845,0.88,0,0,,21,28,severe,24.5,24.5,Non_Omicron,531&Czech delta hosp&Delta&hosp&12&65,0.76,0.00892857142857144,1.15267950993839,0.0489505012531329,1.05830052442584
531,Berec L,0,47,47,Czechia,Czech delta hosp,"",Moderna,Delta,severe,hosp,,12,65,0.815,0.78,0.845,0,0,,29,36,severe,32.5,32.5,Non_Omicron,531&Czech delta hosp&Delta&hosp&12&65,0.715,0.0165816326530612,0.919793362425357,0.0813722618233896,0.776580274715321
531,Berec L,0,47,47,Czechia,Czech delta death,"",Moderna,Delta,severe,death,,12,65,0.96,0.898,0.985,0,0,,12,20,severe,16,16,Non_Omicron,531&Czech delta death&Delta&death&12&65,0.86,0.0221938775510204,1.81528996663825,0.184334531154654,0.671248622079538
531,Berec L,0,47,47,Czechia,Czech delta death,"",Moderna,Delta,severe,death,,12,65,0.91,0.86,0.94,0,0,,21,28,severe,24.5,24.5,Non_Omicron,531&Czech delta death&Delta&death&12&65,0.81,0.0204081632653061,1.450010175506,0.132606648897376,0.7
531,Berec L,0,47,47,Czechia,Czech delta death,"",Moderna,Delta,severe,death,,12,65,0.87,0.82,0.92,0,0,,29,36,severe,32.5,32.5,Non_Omicron,531&Czech delta death&Delta&death&12&65,0.77,0.0255102040816327,1.20831120592453,0.144044065960659,0.626099033699941
555,Starrfelt J,0,90,90,Norway,Norway 2 delta,"",Moderna,Delta,severe,hosp,,18,85,0.953,0.915,0.974,0,0,,18,25,severe,21.5,21.5,Non_Omicron,555&Norway 2 delta&Delta&hosp&18&85,0.853,0.0150510204081633,1.75832696071294,0.120032700976651,0.815111513635415
555,Starrfelt J,0,90,90,Norway,Norway 2 delta,"",Moderna,Delta,severe,hosp,,18,85,0.911,0.849,0.948,0,0,,26,33,severe,29.5,29.5,Non_Omicron,555&Norway 2 delta&Delta&hosp&18&85,0.811,0.0252551020408163,1.45652103905577,0.164765571544806,0.629253204965693
