study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,vaccine_type,study_id2,e_mean,se,mean_logit,sd_logit,in_var
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",Johnson & Johnson,Delta,Severe,hosp,,50,69,0.98,0.91,0.99,0,0,,15,19,severe,17,17,Non_Omicron,non_mRNA,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.977777777777778,0.0251952632905014,3.78418963391827,1.15955473098331,0.63
525,UK HSA,0,95,95,United Kingdom,UK delta hosp,"",AstraZeneca,Delta,severe,hosp,,18,80,0.92,0.91,0.94,0,0,,20,24,severe,22,22,Non_Omicron,non_mRNA,525&UK delta hosp&Delta&hosp&18&80,0.911111111111111,0.00944822373393799,2.32727770558442,0.116662518666003,1.02878569196894
525,UK HSA,0,95,95,United Kingdom,UK delta hosp,"",AstraZeneca,Delta,severe,hosp,,18,80,0.91,0.9,0.92,0,0,,25,29,severe,27,27,Non_Omicron,non_mRNA,525&UK delta hosp&Delta&hosp&18&80,0.9,0.00629881582262535,2.19722457733622,0.069986842473615,1.26
528,Katikireddi S,0,434,434,Scotland,Scotland delta severe,"",AstraZeneca,Delta,severe,hosp&death,,18,80,0.777,0.719,0.823,0,0,,0,1,severe,0.5,0.5,Non_Omicron,non_mRNA,528&Scotland delta severe&Delta&hosp&death&18&80,0.752222222222222,0.0327538422776518,1.11049950145216,0.175733168919183,0.552546552163428
528,Katikireddi S,0,434,434,Scotland,Scotland delta severe,"",AstraZeneca,Delta,severe,hosp&death,,18,80,0.837,0.797,0.87,0,0,,2,3,severe,2.5,2.5,Non_Omicron,non_mRNA,528&Scotland delta severe&Delta&hosp&death&18&80,0.818888888888889,0.0229906777525825,1.50883769138258,0.155017847013609,0.65951414246367
528,Katikireddi S,0,434,434,Scotland,Scotland delta severe,"",AstraZeneca,Delta,severe,hosp&death,,18,80,0.866,0.836,0.89,0,0,,4,5,severe,4.5,4.5,Non_Omicron,non_mRNA,528&Scotland delta severe&Delta&hosp&death&18&80,0.851111111111111,0.0170068027210885,1.74334236978968,0.134206677488033,0.766811580507232
528,Katikireddi S,0,434,434,Scotland,Scotland delta severe,"",AstraZeneca,Delta,severe,hosp&death,,18,80,0.868,0.842,0.889,0,0,,6,7,severe,6.5,6.5,Non_Omicron,non_mRNA,528&Scotland delta severe&Delta&hosp&death&18&80,0.853333333333333,0.0148022171831696,1.7609878105613,0.118270556328592,0.821933372047337
528,Katikireddi S,0,434,434,Scotland,Scotland delta severe,"",AstraZeneca,Delta,severe,hosp&death,,18,80,0.79,0.759,0.817,0,0,,8,9,severe,8.5,8.5,Non_Omicron,non_mRNA,528&Scotland delta severe&Delta&hosp&death&18&80,0.766666666666667,0.0182665658856135,1.18958406687384,0.102111237869889,0.739897476588527
528,Katikireddi S,0,434,434,Scotland,Scotland delta severe,"",AstraZeneca,Delta,severe,hosp&death,,18,80,0.796,0.768,0.821,0,0,,10,11,severe,10.5,10.5,Non_Omicron,non_mRNA,528&Scotland delta severe&Delta&hosp&death&18&80,0.773333333333333,0.0166918619299571,1.2272296664902,0.0952248715578183,0.774011847210779
528,Katikireddi S,0,434,434,Scotland,Scotland delta severe,"",AstraZeneca,Delta,severe,hosp&death,,18,80,0.774,0.746,0.8,0,0,,12,13,severe,12.5,12.5,Non_Omicron,non_mRNA,528&Scotland delta severe&Delta&hosp&death&18&80,0.748888888888889,0.0170068027210885,1.09269511164002,0.0904355860145588,0.766811580507232
528,Katikireddi S,0,434,434,Scotland,Scotland delta severe,"",AstraZeneca,Delta,severe,hosp&death,,18,80,0.759,0.729,0.786,0,0,,14,15,severe,14.5,14.5,Non_Omicron,non_mRNA,528&Scotland delta severe&Delta&hosp&death&18&80,0.732222222222222,0.0179516250944823,1.00592660101185,0.0915558990204611,0.746359585976456
528,Katikireddi S,0,434,434,Scotland,Scotland delta severe,"",AstraZeneca,Delta,severe,hosp&death,,18,80,0.705,0.67,0.737,0,0,,16,17,severe,16.5,16.5,Non_Omicron,non_mRNA,528&Scotland delta severe&Delta&hosp&death&18&80,0.672222222222222,0.0211010330057949,0.718253101691021,0.0957659993539368,0.688411539532273
528,Katikireddi S,0,434,434,Scotland,Scotland delta severe,"",AstraZeneca,Delta,severe,hosp&death,,18,80,0.637,0.596,0.674,0,0,,18,19,severe,18.5,18.5,Non_Omicron,non_mRNA,528&Scotland delta severe&Delta&hosp&death&18&80,0.596666666666667,0.0245653817082389,0.391595260244015,0.10207693585768,0.63802580126271
528,Katikireddi S,0,434,434,Scotland,Scotland delta severe,"",AstraZeneca,Delta,severe,hosp&death,,18,80,0.536,0.484,0.583,0,0,,20,21,severe,20.5,20.5,Non_Omicron,non_mRNA,528&Scotland delta severe&Delta&hosp&death&18&80,0.484444444444445,0.0311791383219955,-0.0622423088772187,0.124837383545636,0.566327884469123
531,Berec L,0,47,47,Czechia,Czech delta hosp,"",AstraZeneca,Delta,severe,hosp,,12,65,0.77,0.75,0.8,0,0,,12,20,severe,16,16,Non_Omicron,non_mRNA,531&Czech delta hosp&Delta&hosp&12&65,0.744444444444444,0.0157470395565634,1.06919840346181,0.0827715901415725,0.796893970362431
531,Berec L,0,47,47,Czechia,Czech delta hosp,"",AstraZeneca,Delta,severe,hosp,,12,65,0.7,0.67,0.725,0,0,,21,28,severe,24.5,24.5,Non_Omicron,non_mRNA,531&Czech delta hosp&Delta&hosp&12&65,0.666666666666667,0.0173217435122197,0.693147180559947,0.0779478458049886,0.759808588335965
531,Berec L,0,47,47,Czechia,Czech delta hosp,"",Johnson & Johnson,Delta,severe,hosp,,12,65,0.745,0.68,0.78,0,0,,12,20,severe,16,16,Non_Omicron,non_mRNA,531&Czech delta hosp&Delta&hosp&12&65,0.716666666666667,0.0314940791131267,0.927986771637348,0.155100800009927,0.563489130329947
531,Berec L,0,47,47,Czechia,Czech delta hosp,"",Johnson & Johnson,Delta,severe,hosp,,12,65,0.67,0.62,0.73,0,0,,21,28,severe,24.5,24.5,Non_Omicron,non_mRNA,531&Czech delta hosp&Delta&hosp&12&65,0.633333333333333,0.0346434870244394,0.546543706368068,0.149182480009548,0.537265805216138
531,Berec L,0,47,47,Czechia,Czech delta death,"",AstraZeneca,Delta,severe,death,,12,65,0.87,0.8,0.905,0,0,,12,20,severe,16,16,Non_Omicron,non_mRNA,531&Czech delta death&Delta&death&12&65,0.855555555555556,0.0330687830687831,1.77885606439215,0.26758955330384,0.549909083394701
531,Berec L,0,47,47,Czechia,Czech delta death,"",AstraZeneca,Delta,severe,death,,12,65,0.825,0.78,0.85,0,0,,21,28,severe,24.5,24.5,Non_Omicron,non_mRNA,531&Czech delta death&Delta&death&12&65,0.805555555555555,0.0220458553791887,1.42138568093116,0.140745953553835,0.67349832961931
531,Berec L,0,47,47,Czechia,Czech delta death,"",Johnson & Johnson,Delta,severe,death,,12,65,0.75,0.59,0.85,0,0,,12,20,severe,16,16,Non_Omicron,non_mRNA,531&Czech delta death&Delta&death&12&65,0.722222222222222,0.0818846056941295,0.955511445027435,0.408163265306122,0.349461123621894
531,Berec L,0,47,47,Czechia,Czech delta death,"",Johnson & Johnson,Delta,severe,death,,12,65,0.68,0.53,0.78,0,0,,21,28,severe,24.5,24.5,Non_Omicron,non_mRNA,531&Czech delta death&Delta&death&12&65,0.644444444444444,0.0787351977828168,0.594707107746691,0.343618050668543,0.35638181771802
558,Voko Z,0,48,48,Hungary,Hungary delta hosp 18-64,"",AstraZeneca,Delta,severe,hosp,,18,64,0.762,0.706,0.807,0,0,,2,17,severe,9.5,9.5,Non_Omicron,non_mRNA,558&Hungary delta hosp 18-64&Delta&hosp&18&64,0.735555555555556,0.031809019904258,1.02299488226554,0.163531100830492,0.560692640957381
558,Voko Z,0,48,48,Hungary,Hungary delta hosp 18-64,"",AstraZeneca,Delta,severe,hosp,,18,64,0.754,0.73,0.776,0,0,,18,25,severe,21.5,21.5,Non_Omicron,non_mRNA,558&Hungary delta hosp 18-64&Delta&hosp&18&64,0.726666666666667,0.0144872763920383,0.977775815524838,0.0729388495907053,0.830819396478691
558,Voko Z,0,48,48,Hungary,Hungary delta hosp 18-64,"",AstraZeneca,Delta,severe,hosp,,18,64,0.595,0.54,0.642,0,0,,26,34,severe,30,30,Non_Omicron,non_mRNA,558&Hungary delta hosp 18-64&Delta&hosp&18&64,0.55,0.0321239606953893,0.200670695462151,0.129793780587431,0.55793737789026
558,Voko Z,0,48,48,Hungary,Hungary delta hosp 18-64,"",AstraZeneca,Delta,severe,hosp,,18,64,0.488,0.382,0.576,0,0,,35,42,severe,38.5,38.5,Non_Omicron,non_mRNA,558&Hungary delta hosp 18-64&Delta&hosp&18&64,0.431111111111111,0.0610985134794658,-0.277319285416235,0.249123086734694,0.404561618412799
558,Voko Z,0,48,48,Hungary,Hungary delta death 18-64,"",AstraZeneca,Delta,severe,death,,18,64,0.901,0.735,0.963,0,0,,2,17,severe,9.5,9.5,Non_Omicron,non_mRNA,558&Hungary delta death 18-64&Delta&death&18&64,0.89,0.0718065003779289,2.09074109693377,0.733467828170878,0.373179792988228
